item_id,gold_label,gold_source
cifar10_test_00089,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00090,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00091,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00092,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00093,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00094,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00095,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00096,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00097,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00098,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00099,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00100,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00101,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00102,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00103,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00104,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00105,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00106,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00107,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00108,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00109,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00110,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00111,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00112,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00113,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00114,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00115,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00116,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00117,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00118,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00119,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00120,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00121,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00122,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00123,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00124,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00125,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00126,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00127,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00128,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00129,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00130,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00131,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00132,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00133,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00134,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00135,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00136,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00137,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00138,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00139,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00140,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00141,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00142,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00143,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00144,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00145,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00146,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00147,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00148,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00149,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00150,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00151,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00152,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00153,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00154,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00155,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00156,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00157,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00158,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00159,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00160,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00161,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00162,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00163,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00164,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00165,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00166,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00167,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00168,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00169,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00170,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00171,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00172,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00173,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00174,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00175,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00176,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00177,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00178,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00179,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00180,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00181,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00182,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00183,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00184,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00185,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00186,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00187,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00188,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00189,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00190,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00191,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00192,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00193,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00194,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00195,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00196,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00197,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00198,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00199,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00200,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00201,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00202,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00203,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00204,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00205,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00206,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00207,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00208,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00209,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00210,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00211,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00212,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00213,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00214,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00215,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00216,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00217,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00218,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00219,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00220,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00221,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00222,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00223,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00224,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00225,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00226,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00227,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00228,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00229,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00230,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00231,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00232,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00233,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00234,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00235,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00236,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00237,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00238,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00239,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00240,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00241,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00242,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00243,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00244,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00245,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00246,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00247,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00248,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00249,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00250,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00251,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00252,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00253,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00254,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00255,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00256,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00257,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00258,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00259,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00260,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00261,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00262,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00263,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00264,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00265,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00266,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00267,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00268,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00269,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00270,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00271,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00272,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00273,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00274,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00275,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00276,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00277,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00278,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00279,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00280,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00281,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00282,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00283,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00284,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00285,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00286,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00287,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00288,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00289,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00290,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00291,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00292,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00293,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00294,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00295,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00296,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00297,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00298,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00299,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00300,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00301,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00302,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00303,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00304,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00305,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00306,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00307,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00308,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00309,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00310,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00311,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00312,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00313,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00314,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00315,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00316,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00317,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00318,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00319,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00320,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00321,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00322,2,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00323,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00324,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00325,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00326,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00327,5,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00328,4,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00329,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00330,1,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00331,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00332,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00333,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00334,6,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00335,9,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00336,3,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00337,8,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00338,0,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
cifar10_test_00339,7,CIFAR-10 benchmark test label carried in CIFAR-10H raw file
